alert_id,pattern_type,priority,entity_type,entity_id,risk_score,confidence,first_detected,last_detected,incident_count,related_actor_count,related_route_count,related_location_count,explanation
ALT-B1516C7F,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2024-08-10_30d,100.0,100.0,2024-08-10,2024-09-06,17,15,13,5,"Temporal trafficking cluster: 17 incidents within 30 days (2024-08-10 – 2024-09-06) sharing route RTE-15641305, species Pangolin, source Mumbai Port; 15 actor(s) involved."
ALT-AF0D3ABE,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-11_30d,100.0,100.0,2025-11-11,2025-12-10,16,16,13,5,"Temporal trafficking cluster: 16 incidents within 30 days (2025-11-11 – 2025-12-10) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 16 actor(s) involved."
ALT-B1BCC495,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2026-10-14_30d,100.0,100.0,2026-10-14,2026-11-13,17,14,15,5,"Temporal trafficking cluster: 17 incidents within 30 days (2026-10-14 – 2026-11-13) sharing route RTE-01273A62, species Pangolin, source Chennai Port; 14 actor(s) involved."
ALT-585A6BCF,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-09_30d,100.0,100.0,2025-11-09,2025-12-05,16,16,13,5,"Temporal trafficking cluster: 16 incidents within 30 days (2025-11-09 – 2025-12-05) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 16 actor(s) involved."
ALT-DF9B10CC,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-01_30d,100.0,100.0,2025-11-01,2025-11-30,17,17,13,5,"Temporal trafficking cluster: 17 incidents within 30 days (2025-11-01 – 2025-11-30) sharing route RTE-32F0E94F, species Pangolin, source Kochi Port; 17 actor(s) involved."
ALT-A7909E5D,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2024-08-08_30d,100.0,100.0,2024-08-08,2024-09-06,18,16,13,5,"Temporal trafficking cluster: 18 incidents within 30 days (2024-08-08 – 2024-09-06) sharing route RTE-15641305, species Pangolin, source Mumbai Port; 16 actor(s) involved."
ALT-BE555973,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2025-11-14_7d,100.0,100.0,2025-11-14,2025-11-20,9,9,7,4,"Temporal trafficking cluster: 9 incidents within 7 days (2025-11-14 – 2025-11-20) sharing route RTE-15641305, species Elephant, source Kochi Port; 9 actor(s) involved."
ALT-E4933907,HIGH_CONNECTIVITY_HUB,CRITICAL,LOCATION,Mombasa,90.0,94.0,2024-01-05,2026-12-29,135,72,19,1,High Connectivity Hub signal for Mombasa: 72 distinct actors observed; connected to 19 trafficking corridors.
ALT-B2ECB793,RECURRING_ACTOR,CRITICAL,ACTOR,ACT-DUP-0007,89.08,94.08,2024-05-21,2026-12-13,11,0,6,4,"Recurring actor signal for Fred Smyth (Transporter, Kenyan): involved in 11 incidents; 6 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 936 days."
ALT-8B2A9862,TEMPORAL_CLUSTER,CRITICAL,CLUSTER,CLUSTER_2026-10-14_14d,88.33,90.33,2026-10-14,2026-10-28,12,12,12,5,"Temporal trafficking cluster: 12 incidents within 14 days (2026-10-14 – 2026-10-28) sharing species Leopard, source Chennai Port; 12 actor(s) involved."
ALT-97F551D0,RECURRING_ACTOR,CRITICAL,ACTOR,ACT-F70E04EC,87.3,92.3,2024-12-15,2026-12-26,8,0,8,4,"Recurring actor signal for Anthony Rodriguez (Exporter, Indian): involved in 8 incidents; 8 distinct trafficking corridors; 4 destination locations; 4 species/commodity types; activity spanning 741 days."
ALT-5E41F405,RECURRING_ACTOR,CRITICAL,ACTOR,ACT-DUP-0002,86.85,91.85,2024-02-20,2026-12-02,11,0,6,4,"Recurring actor signal for Kidd Amber (Exporter, Mozambican): involved in 11 incidents; 6 distinct trafficking corridors; 4 destination locations; 2 species/commodity types; activity spanning 1016 days."
ALT-E3056982,RECURRING_ACTOR,CRITICAL,ACTOR,ACT-DUP-0004,86.63,91.63,2024-04-27,2026-11-10,10,0,6,4,"Recurring actor signal for Zachary Hix (Transporter, Indian): involved in 10 incidents; 6 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 927 days."
ALT-F836A748,ROUTE_EMERGING,CRITICAL,ROUTE,RTE-844D2BD8,84.4,87.4,2024-02-20,2026-12-28,26,10,1,2,Emerging route signal for corridor Kochi-Maputo (Kochi Port → Maputo): activity increased from 3 incidents (baseline) to 4 incidents in the last 30 days; 10 distinct actors involved; 4 species detected on this corridor; historical risk score 82/100.
ALT-E7A18DF9,NETWORK_EXPANSION,HIGH,ACTOR,ACT-DUP-0002,78.0,83.0,2024-02-20,2026-12-02,11,1,1,1,Network expansion signal for actor ACT-DUP-0002: 1 new trafficking corridor(s); 1 new destination(s); 1 new species/commodity type(s); 1 entity-match relationship(s) detected.
ALT-241DCB12,RECURRING_ACTOR,HIGH,ACTOR,ACT-DUP-0006,77.12,82.12,2024-06-02,2026-11-24,6,0,6,4,"Recurring actor signal for Carrol Tucker (Collector, Mozambican): involved in 6 incidents; 6 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 905 days."
ALT-0822146D,ROUTE_HIGH_RISK,HIGH,ROUTE,RTE-F51C2F2E,76.0,79.0,2024-06-05,2026-12-27,30,17,1,2,High_Risk route signal for corridor Chennai-Mombasa (Chennai Port → Mombasa): 17 distinct actors involved; 4 species detected on this corridor; historical risk score 90/100.
ALT-0EE656A0,RECURRING_ACTOR,HIGH,ACTOR,ACT-DUP-0008,75.81,80.81,2024-04-16,2026-07-31,6,0,6,4,"Recurring actor signal for Frederick Smith (Transporter, Kenyan): involved in 6 incidents; 6 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 836 days."
ALT-9ABE5604,RECURRING_ACTOR,HIGH,ACTOR,ACT-DUP-0001,74.75,79.75,2024-05-12,2026-09-29,8,0,5,4,"Recurring actor signal for Ambar Kidd (Exporter, Mozambican): involved in 8 incidents; 5 distinct trafficking corridors; 4 destination locations; 2 species/commodity types; activity spanning 870 days."
ALT-88AF1250,RECURRING_ACTOR,HIGH,ACTOR,ACT-D404B1E6,72.26,77.26,2024-05-02,2026-10-19,5,0,5,4,"Recurring actor signal for Cameron Parker (Collector, South African): involved in 5 incidents; 5 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 900 days."
ALT-154CE03C,ROUTE_HIGH_RISK,HIGH,ROUTE,RTE-15641305,72.04,75.04,2024-03-25,2026-12-08,28,16,1,2,High_Risk route signal for corridor Tuticorin-Maputo (Tuticorin Port → Maputo): 16 distinct actors involved; 4 species detected on this corridor; historical risk score 87/100.
ALT-1A981FE1,RECURRING_ACTOR,HIGH,ACTOR,ACT-DUP-0005,71.59,76.59,2025-12-21,2026-12-20,7,0,7,4,"Recurring actor signal for Carol Tukker (Collector, Mozambican): involved in 7 incidents; 7 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 364 days."
ALT-BBE871DD,RECURRING_ACTOR,HIGH,ACTOR,ACT-EBD0B65D,71.15,76.15,2024-03-11,2026-07-13,6,0,4,4,"Recurring actor signal for Ryan Munoz (Broker, Indian): involved in 6 incidents; 4 distinct trafficking corridors; 4 destination locations; 3 species/commodity types; activity spanning 854 days."
ALT-4F16519C,EMERGING_HUB,HIGH,LOCATION,Maputo,70.82,74.82,2024-02-20,2026-12-28,79,42,11,1,Emerging Hub signal for Maputo: activity rose from 3 (baseline period) to 6 incidents in the last 30 days; 42 distinct actors observed; connected to 11 trafficking corridors.
ALT-05753507,RECURRING_ACTOR,HIGH,ACTOR,ACT-0BE618C7,70.4,75.4,2024-04-20,2026-03-28,8,0,5,3,"Recurring actor signal for William Herrera (Buyer, Somali): involved in 8 incidents; 5 distinct trafficking corridors; 3 destination locations; 3 species/commodity types; activity spanning 707 days."
ALT-CED91138,RECURRING_ACTOR,HIGH,ACTOR,ACT-A19B3B13,66.29,71.29,2024-02-08,2026-09-04,7,0,4,3,"Recurring actor signal for Paul Jones (Transporter, Mozambican): involved in 7 incidents; 4 distinct trafficking corridors; 3 destination locations; 2 species/commodity types; activity spanning 939 days."
ALT-F1CD6862,RECURRING_ACTOR,WATCH,ACTOR,ACT-516B220E,64.88,69.88,2024-03-20,2026-11-29,6,0,4,3,"Recurring actor signal for Lauren Daniels (Broker, Tanzanian): involved in 6 incidents; 4 distinct trafficking corridors; 3 destination locations; 2 species/commodity types; activity spanning 984 days."
ALT-1124876D,RECURRING_ACTOR,WATCH,ACTOR,ACT-DUP-0010,63.44,68.44,2024-03-28,2026-07-07,5,0,5,4,"Recurring actor signal for Victoriya Garcia (Collector, Mozambican): involved in 5 incidents; 5 distinct trafficking corridors; 4 destination locations; activity spanning 831 days."
ALT-07A6C5BA,RECURRING_ACTOR,WATCH,ACTOR,ACT-DD3ED62E,63.0,68.0,2024-01-05,2026-08-01,5,0,3,3,"Recurring actor signal for Crystal Johnson (Transporter, Somali): involved in 5 incidents; 3 distinct trafficking corridors; 3 destination locations; 3 species/commodity types; activity spanning 939 days."
ALT-7CA3D823,RECURRING_ACTOR,WATCH,ACTOR,ACT-40058B0F,61.36,66.36,2024-03-28,2026-07-17,4,0,4,3,"Recurring actor signal for Sarah Moore (Exporter, Tanzanian): involved in 4 incidents; 4 distinct trafficking corridors; 3 destination locations; 3 species/commodity types; activity spanning 841 days."
ALT-6BA083F5,EMERGING_HUB,WATCH,LOCATION,Visakhapatnam,61.25,65.25,2024-01-05,2026-12-20,66,47,13,1,Emerging Hub signal for Visakhapatnam: activity rose from 3 (baseline period) to 4 incidents in the last 30 days; 47 distinct actors observed; connected to 13 trafficking corridors.
ALT-277F6343,RECURRING_ACTOR,WATCH,ACTOR,ACT-72D14581,60.71,65.71,2024-08-10,2026-10-26,4,0,4,3,"Recurring actor signal for Rebecca Valencia (Buyer, Ugandan): involved in 4 incidents; 4 distinct trafficking corridors; 3 destination locations; 3 species/commodity types; activity spanning 807 days."
ALT-4E5A6DA8,RECURRING_ACTOR,WATCH,ACTOR,ACT-130BC3BE,57.36,62.36,2024-09-01,2026-12-08,4,0,4,3,"Recurring actor signal for John Whitehead (Collector, South African): involved in 4 incidents; 4 distinct trafficking corridors; 3 destination locations; 2 species/commodity types; activity spanning 828 days."
ALT-F4826DAF,RECURRING_ACTOR,WATCH,ACTOR,ACT-480A6546,56.94,61.94,2024-01-30,2026-09-17,6,0,3,2,"Recurring actor signal for Ashley Waller (Transporter, Somali): involved in 6 incidents; 3 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 961 days."
ALT-4E680B00,RECURRING_ACTOR,WATCH,ACTOR,ACT-DUP-0003,56.14,61.14,2024-08-25,2026-07-24,4,0,4,4,"Recurring actor signal for Zackary Hicks (Transporter, Indian): involved in 4 incidents; 4 distinct trafficking corridors; 4 destination locations; activity spanning 698 days."
ALT-FCEEE734,RECURRING_ACTOR,WATCH,ACTOR,ACT-6F081E40,55.2,60.2,2024-02-10,2026-11-07,6,0,2,2,"Recurring actor signal for Jeffrey Chavez (Broker, Indian): involved in 6 incidents; 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 1001 days."
ALT-85FFFD04,ROUTE_HIGH_RISK,WATCH,ROUTE,RTE-32F0E94F,55.13,58.13,2024-01-05,2026-08-22,25,12,1,2,High_Risk route signal for corridor Vizag-Mombasa (Visakhapatnam → Mombasa): 12 distinct actors involved; 4 species detected on this corridor; historical risk score 79/100.
ALT-40666D72,HIGH_CONNECTIVITY_HUB,WATCH,LOCATION,Mumbai Port,55.05,59.05,2024-01-10,2026-12-13,82,53,17,1,High Connectivity Hub signal for Mumbai Port: 53 distinct actors observed; connected to 17 trafficking corridors.
ALT-09E70B49,RECURRING_ACTOR,WATCH,ACTOR,ACT-7353F8D0,54.03,59.03,2024-05-06,2026-02-18,4,0,4,3,"Recurring actor signal for William Baker (Collector, Tanzanian): involved in 4 incidents; 4 distinct trafficking corridors; 3 destination locations; 2 species/commodity types; activity spanning 653 days."
ALT-F9EF3D4D,RECURRING_ACTOR,WATCH,ACTOR,ACT-7494AE24,54.01,59.01,2024-04-30,2026-07-04,5,0,4,2,"Recurring actor signal for Kelly Donovan (Collector, Mozambican): involved in 5 incidents; 4 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 795 days."
ALT-43425DD8,RECURRING_ACTOR,WATCH,ACTOR,ACT-9150A102,53.26,58.26,2024-07-12,2026-12-28,6,0,2,2,"Recurring actor signal for Lisa Barnes (Buyer, Mozambican): involved in 6 incidents; 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 899 days."
ALT-8A41A6CB,RECURRING_ACTOR,WATCH,ACTOR,ACT-DUP-0009,52.56,57.56,2025-04-15,2026-09-07,4,0,4,4,"Recurring actor signal for Victoria Gracia (Collector, Mozambican): involved in 4 incidents; 4 distinct trafficking corridors; 4 destination locations; activity spanning 510 days."
ALT-80952948,RECURRING_ACTOR,WATCH,ACTOR,ACT-F702EB53,51.41,56.41,2025-04-09,2026-10-30,3,0,3,3,"Recurring actor signal for Evelyn Galvan (Collector, Ugandan): involved in 3 incidents; 3 distinct trafficking corridors; 3 destination locations; 3 species/commodity types; activity spanning 569 days."
ALT-2161A659,RECURRING_ACTOR,WATCH,ACTOR,ACT-A7290540,51.36,56.36,2024-06-05,2026-05-10,9,0,2,1,"Recurring actor signal for Mark Perez (Collector, Kenyan): involved in 9 incidents; 2 distinct trafficking corridors; 2 species/commodity types; activity spanning 704 days."
ALT-D79F75CC,ROUTE_HIGH_RISK,WATCH,ROUTE,RTE-FB4EE4BA,50.35,53.35,2024-01-24,2026-11-10,22,9,1,2,High_Risk route signal for corridor Mumbai-Mombasa (Mumbai Port → Mombasa): 9 distinct actors involved; 2 species detected on this corridor; historical risk score 94/100.
ALT-03AF859A,NETWORK_EXPANSION,WATCH,ACTOR,ACT-DUP-0005,50.0,55.0,2025-12-21,2026-12-20,7,3,1,1,Network expansion signal for actor ACT-DUP-0005: 1 new trafficking corridor(s); 1 new species/commodity type(s); 3 entity-match relationship(s) detected.
ALT-80633013,RECURRING_ACTOR,WATCH,ACTOR,ACT-2F205955,48.53,53.53,2024-03-25,2025-10-07,4,0,3,2,"Recurring actor signal for Angelica Tucker (Exporter, Indian): involved in 4 incidents; 3 distinct trafficking corridors; 2 destination locations; 3 species/commodity types; activity spanning 561 days."
ALT-96BE12E1,RECURRING_ACTOR,WATCH,ACTOR,ACT-ADF3339E,47.95,52.95,2024-07-19,2026-11-13,3,0,3,2,"Recurring actor signal for Deborah Figueroa (Transporter, South African): involved in 3 incidents; 3 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 847 days."
ALT-E224637F,RECURRING_ACTOR,WATCH,ACTOR,ACT-A05EB96B,47.49,52.49,2024-04-03,2026-07-05,3,0,3,2,"Recurring actor signal for Zachary Ferrell (Broker, Mozambican): involved in 3 incidents; 3 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 823 days."
ALT-BB33BA73,RECURRING_ACTOR,WATCH,ACTOR,ACT-61CA522C,47.08,52.08,2024-08-12,2025-08-01,4,0,4,2,"Recurring actor signal for Nathan Maldonado (Transporter, Indian): involved in 4 incidents; 4 distinct trafficking corridors; 2 destination locations; 3 species/commodity types; activity spanning 354 days."
ALT-48D401CF,ROUTE_HIGH_RISK,WATCH,ROUTE,RTE-D37D6F20,47.05,50.05,2024-04-27,2026-11-24,14,14,1,2,High_Risk route signal for corridor Kochi-DarEsSalaam (Kochi Port → Dar es Salaam): 14 distinct actors involved; 4 species detected on this corridor; historical risk score 95/100.
ALT-B1F625F0,RECURRING_ACTOR,WATCH,ACTOR,ACT-239810D5,47.05,52.05,2024-01-10,2026-11-25,2,0,2,2,"Recurring actor signal for John Pierce (Transporter, Indian): 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 1050 days."
ALT-3F4CB984,RECURRING_ACTOR,WATCH,ACTOR,ACT-5BCEA423,46.94,51.94,2024-03-26,2026-06-10,4,0,2,2,"Recurring actor signal for Noah Rhodes (Collector, Indian): involved in 4 incidents; 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 806 days."
ALT-ECAB7836,RECURRING_ACTOR,WATCH,ACTOR,ACT-525CFB31,46.51,51.51,2024-03-08,2026-12-25,2,0,2,2,"Recurring actor signal for Megan Young (Broker, Tanzanian): 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 1022 days."
ALT-01649E0A,RECURRING_ACTOR,WATCH,ACTOR,ACT-CFAB48FB,46.41,51.41,2024-01-24,2025-08-15,3,0,3,2,"Recurring actor signal for Brian Rodriguez (Collector, South African): involved in 3 incidents; 3 distinct trafficking corridors; 2 destination locations; 3 species/commodity types; activity spanning 569 days."
ALT-22B743F1,RECURRING_ACTOR,WATCH,ACTOR,ACT-B49444A6,46.4,51.4,2024-08-01,2025-12-17,3,0,3,3,"Recurring actor signal for Amber Kidd (Transporter, Tanzanian): involved in 3 incidents; 3 distinct trafficking corridors; 3 destination locations; 2 species/commodity types; activity spanning 503 days."
ALT-872F65C1,RECURRING_ACTOR,WATCH,ACTOR,ACT-ADB13586,45.9,50.9,2024-03-22,2026-10-14,3,0,3,2,"Recurring actor signal for Brittany Farmer (Collector, Indian): involved in 3 incidents; 3 distinct trafficking corridors; 2 destination locations; activity spanning 936 days."
ALT-31C0DB00,RECURRING_ACTOR,WATCH,ACTOR,ACT-F73F1F34,45.08,50.08,2024-01-13,2026-08-17,2,0,2,2,"Recurring actor signal for Lisa Hensley (Buyer, Indian): 2 distinct trafficking corridors; 2 destination locations; 2 species/commodity types; activity spanning 947 days."
ALT-AD37335D,ROUTE_HIGH_RISK,LOW,ROUTE,RTE-5A090E6C,44.95,47.95,2024-04-16,2026-09-25,14,14,1,2,High_Risk route signal for corridor Mumbai-Durban (Mumbai Port → Durban): 14 distinct actors involved; 4 species detected on this corridor; historical risk score 81/100.
ALT-A8348D5C,ROUTE_HIGH_RISK,LOW,ROUTE,RTE-22651175,31.05,34.05,2024-03-20,2026-10-14,8,8,1,2,High_Risk route signal for corridor Chennai-DaresSalaam-Nairobi (Chennai Port → Dar es Salaam): 8 distinct actors involved; 3 species detected on this corridor; historical risk score 82/100.
ALT-4FD99DD9,ROUTE_RECURRING,LOW,ROUTE,RTE-C3C4BB2E,28.95,31.95,2024-04-26,2026-09-26,8,8,1,2,Recurring route signal for corridor Tuticorin-Mombasa-Kuala (Tuticorin Port → Mombasa): 8 distinct actors involved; 3 species detected on this corridor.
ALT-1E708581,ROUTE_RECURRING,LOW,ROUTE,RTE-12678A58,28.07,31.07,2024-04-30,2026-12-25,5,5,1,2,Recurring route signal for corridor Tuticorin-Durban-Bangkok (Tuticorin Port → Durban): 5 distinct actors involved; 2 species detected on this corridor.
ALT-E5BE9B06,ROUTE_RECURRING,LOW,ROUTE,RTE-05837773,26.3,29.3,2024-12-15,2026-10-26,7,7,1,2,Recurring route signal for corridor Chennai-DarEsSalaam (Chennai Port → Dar es Salaam): 7 distinct actors involved; 4 species detected on this corridor.
ALT-1DE746E5,ROUTE_HIGH_RISK,LOW,ROUTE,RTE-8F0A4EBD,25.31,28.31,2024-10-23,2026-10-28,6,6,1,2,High_Risk route signal for corridor Mumbai-DaresSalaam-Kuala (Mumbai Port → Dar es Salaam): 6 distinct actors involved; 2 species detected on this corridor; historical risk score 75/100.
ALT-11B08A27,ROUTE_RECURRING,LOW,ROUTE,RTE-BE75B5F4,24.62,27.62,2024-03-25,2026-12-13,5,5,1,2,Recurring route signal for corridor Mumbai-DaresSalaam-Addis (Mumbai Port → Dar es Salaam): 5 distinct actors involved; 4 species detected on this corridor.
ALT-D99B9A03,ROUTE_HIGH_RISK,LOW,ROUTE,RTE-F534A60F,22.67,25.67,2024-02-27,2026-08-01,5,5,1,2,High_Risk route signal for corridor Kochi-Durban-Kuala (Kochi Port → Durban): 5 distinct actors involved; 3 species detected on this corridor; historical risk score 73/100.
ALT-221AADCE,ROUTE_RECURRING,LOW,ROUTE,RTE-EF6F0110,21.26,24.26,2024-05-02,2026-11-02,6,6,1,2,Recurring route signal for corridor Visakhapatnam-Mombasa-Aden (Visakhapatnam → Mombasa): 6 distinct actors involved; 3 species detected on this corridor.
ALT-B52AB3D3,ROUTE_RECURRING,LOW,ROUTE,RTE-674B55E3,20.42,23.42,2024-04-08,2026-09-20,5,5,1,2,Recurring route signal for corridor Chennai-DaresSalaam-Dubai (Chennai Port → Dar es Salaam): 5 distinct actors involved; 2 species detected on this corridor.
ALT-BFB115AF,ROUTE_RECURRING,LOW,ROUTE,RTE-D5B7DEF5,19.97,22.97,2024-05-20,2025-12-17,5,5,1,2,Recurring route signal for corridor Visakhapatnam-Durban-Bangkok (Visakhapatnam → Durban): 5 distinct actors involved; 2 species detected on this corridor.
ALT-D3A846A8,ROUTE_RECURRING,LOW,ROUTE,RTE-5CFE009F,19.52,22.52,2024-08-28,2025-08-14,5,5,1,2,Recurring route signal for corridor Visakhapatnam-DaresSalaam-Addis (Visakhapatnam → Dar es Salaam): 5 distinct actors involved; 4 species detected on this corridor.
ALT-E76E3557,ROUTE_RECURRING,LOW,ROUTE,RTE-01273A62,18.32,21.32,2025-04-14,2026-11-13,5,5,1,2,Recurring route signal for corridor Visakhapatnam-Mombasa-Muscat (Visakhapatnam → Mombasa): 5 distinct actors involved; 3 species detected on this corridor.
ALT-926CBFEE,ROUTE_RECURRING,LOW,ROUTE,RTE-4424DBF1,16.82,19.82,2024-03-26,2026-10-18,5,5,1,2,Recurring route signal for corridor Kochi-DaresSalaam-Port (Kochi Port → Dar es Salaam): 5 distinct actors involved; 3 species detected on this corridor.
